Hostname,IP Address,Status
tgctbd1.yas.tg,Not found or domain doesn't exist,Not Resolved
tg-togocel-rbt-01.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-vtom01.togocom.tg,10.228.15.100; 10.228.54.11,Resolved
ca-prd-cms-egw-01.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-DR-WSELKS01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-BSSOSS-APP-01.togocom.tg,10.228.15.100; 10.228.12.27,Resolved
ca-prp-pgw-db.momo.togocom.tg,10.228.15.100; 10.228.18.30,Resolved
CA-PRD-UMWEB002.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
tgctbd2.yas.tg,Not found or domain doesn't exist,Not Resolved
cbdb-datanode06.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRP-WSAPIM01.ws.togocom.tg,10.228.15.100; 10.228.19.31,Resolved
CA-PRD-UMCON009.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-prd-umeng07.momo.togocom.tg,10.228.15.100; 10.228.10.208,Resolved
CA-SIMU-DMS-OTA01.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
ca-poc.yas.tg,10.228.15.100; 10.232.13.42,Resolved
CA-ACS-HCL-CL01.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-tap-server.togocom.tg,10.228.15.100; 10.228.14.20,Resolved
shr01-jnk1.ws.togocom.tg,10.228.15.100; 10.228.11.11,Resolved
CA-BASTION-APACHE.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-CORP-MS02.mixx.tg,10.228.15.100; 10.228.12.83,Resolved
lo-edw-gpl01.dwh.togocom.tg,10.228.15.100; 10.228.11.246,Resolved
CA-KPI-CO-DB-SLAVE-03.yas.tg,10.228.15.100; 10.232.13.40,Resolved
ca-prd-umdbr01.momo.togocom.tg,10.228.15.100; 10.228.10.24,Resolved
ca-prd-momo-db.momo.togocom.tg,10.228.15.100; 10.228.12.24,Resolved
lo-kurve-app.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD-KUBE-MASTER-02.togocom.int,10.228.15.100; 10.228.11.248,Resolved
LO-DR-WSAPIG02.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
prd01-okdm2.ws.togocom.tg,10.228.15.100; 10.228.11.15,Resolved
CA-ZABBIX.togocom.tg,10.228.15.100; 10.228.15.26,Resolved
CA-PRD01-DBBANK.mdw.togocom.tg,10.228.15.100; 10.228.11.52,Resolved
lo-ra01.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRP-SENT-APP02.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-DEV-WSGW.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-USMMNGT02.yas.tg,Not found or domain doesn't exist,Not Resolved
prp01-intmnt1.ws.togocom.tg,10.228.15.100; 10.228.19.18,Resolved
ca-eservice-db.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-CERTMGMT-LINUX.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRP-ANSIBLE.yas.tg,Not found or domain doesn't exist,Not Resolved
lo-prp-sent-app.togocom.tg,10.228.15.100; 10.228.20.202,Resolved
tst01-okd1.ws.togocom.tg,10.228.15.100; 10.228.27.15,Resolved
tgcupc2.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-lumata-db02.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-UAT-WSGW.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-PI-BCEAO-01.yas.tg,10.228.15.100; 10.228.11.122,Resolved
CA-WEB-SERVER.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-WSMINT01.ws.togocom.tg,10.228.15.100; 10.228.13.29,Resolved
ca-nginx-proxy.togocom.tg,10.228.15.100; 10.228.40.100,Resolved
CA-PRD-WSAMQP02.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
zabbix.yas.tg,10.228.15.100; 10.228.15.26,Resolved
LO-TOGOCOM-DRIVE.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMCON002.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-prd-umetl02.momo.togocom.tg,10.228.15.100; 10.228.10.210,Resolved
CA-PRD-REIS-DB.yas.tg,10.228.15.100; 10.228.10.103,Resolved
prd01-okdm1.ws.togocom.tg,10.228.15.100; 10.228.11.14,Resolved
CA-PRP-KUBE-MASTER.togocom.tg,10.228.15.100; 10.228.11.89,Resolved
iscsi-shared_infra_yas_tg,Not found or domain doesn't exist,Not Resolved
ca-prd-sent-db01.togocom.tg,10.228.15.100; 10.228.12.14,Resolved
LO-PRP-SUPER-JUMP.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
CA-USMSTGMNGT01.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PROD-KAFKA.togocom.tg,10.228.15.100; 10.228.11.67,Resolved
CA-USMSTG01.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-DR-WSAPIM01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-GED-TEST02.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMCON003.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD01-BILL01.mdw.togocom.tg,10.228.15.100; 10.228.11.218,Resolved
ca-prd-momo-redis.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-cms-webdb-02.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRP-SYNC-DB01.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-UAT-UMWEB001.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRP-WSMINT01.ws.togocom.tg,10.228.15.100; 10.228.19.33,Resolved
ca-tst-db.mdw.togocom.tg,10.228.15.100; 10.228.27.23,Resolved
LO-PRP-SENT-DB02.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-OPA-WAF.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-sync-db02.togocom.tg,Not found or domain doesn't exist,Not Resolved
mysql-db-replicat.yas.tg,Not found or domain doesn't exist,Not Resolved
tgcdb3.yas.tg,Not found or domain doesn't exist,Not Resolved
prp01-efk2.ws.togocom.tg,10.228.15.100; 10.228.19.207,Resolved
CA-REPOSITORY-R8.togocom.tg,Not found or domain doesn't exist,Not Resolved
tgcrpt1.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-umdbo002.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-DEV-WSPGSQL01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
shr01-jnk2.ws.togocom.tg,10.228.15.100; 10.228.11.200,Resolved
LO-WAR-ROOM-DATA-API.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-DEV-WSMINT02.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-cms-ccs-01.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRP-SYNC-NFS.yas.tg,Not found or domain doesn't exist,Not Resolved
prp01-apim1.ws.togocom.tg,10.228.15.100; 10.228.19.16,Resolved
CA-FTP-ESIM.togocom.tg,10.228.15.100; 10.228.12.59,Resolved
LO-SMSCPROD12.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-cms-analytics-01.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-dev-db.mdw.togocom.tg,10.228.15.100; 10.228.27.21,Resolved
CA-GED-BACKUP.togocom.tg,10.228.15.100; 10.228.15.90,Resolved
CA-PRD-UMCON010.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
dev01-db1.ws.togocom.tg,10.228.15.100; 10.228.27.14,Resolved
CA-PRP-WSAMQP01.ws.togocom.tg,10.228.15.100; 10.228.19.24,Resolved
ca-prp-umetl01.momo.togocom.tg,10.228.15.100; 10.228.18.17,Resolved
CA-USMPROD02.yas.tg,Not found or domain doesn't exist,Not Resolved
k8s-master02.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-SMS-FIREWALL06.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-pgw-app.momo.togocom.tg,10.228.15.100; 10.228.10.34,Resolved
ca-prd-umeng03.momo.togocom.tg,10.228.15.100; 10.228.10.19,Resolved
CA-DB-POSTGRES-01.TOGOCOM.INT,10.228.15.100; 10.228.11.44,Resolved
CA-GED-PROD-02.togocom.tg,10.228.15.100; 10.228.15.89,Resolved
CA-PRD-SUPER-DBCLUS-04.TOGOCOM.TG,10.228.15.100; 10.228.12.32,Resolved
prd01-okdm4.ws.togocom.tg,10.228.15.100; 10.228.11.203,Resolved
CA-HAPROXY-BASTION.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-WSLB.ws.togocom.tg,10.228.15.100; 10.228.13.35,Resolved
LO-PRD01-BANK02.mdw.togocom.tg,10.228.15.100; 10.228.11.221,Resolved
tgcdb4.yas.tg,Not found or domain doesn't exist,Not Resolved
tgcblg1.yas.tg,Not found or domain doesn't exist,Not Resolved
LMSDEVUAT.togocom.tg,10.228.15.100; 10.228.26.24,Resolved
CA-PRP-WSAPIM02.ws.togocom.tg,10.228.15.100; 10.228.19.32,Resolved
CA-CERTBOT-NGINX.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-RSYSLOG-DT.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-SOCasS-UNIX.togocom.tg,10.228.15.100; 10.228.15.66,Resolved
prp01-okdm1.ws.togocom.tg,10.228.15.100; 10.228.19.12,Resolved
LMSPRODDB01.TOGOCOM.TG,10.228.15.100; 10.228.10.40,Resolved
ca-prd-umdbo006.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-NETXCARE.togocom.tg,10.228.15.100; 10.228.32.21,Resolved
CA-ACS-HCL-DB02.togocom.tg,Not found or domain doesn't exist,Not Resolved
prd01-apimnt1.ws.togocom.tg,10.228.15.100; 10.228.11.208,Resolved
LO-PRD-UMCON26.MOMO.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
LO-PRP-SUPER-MS-01.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
lo-erendez-vous.togocom.tg,Not found or domain doesn't exist,Not Resolved
prd01-amq2.ws.togocom.tg,10.228.15.100; 10.228.11.207,Resolved
LO-PRP-SELFCARE-MS01.togocom.tg,Not found or domain doesn't exist,Not Resolved
vas-srv2-267555.yas.tg,Not found or domain doesn't exist,Not Resolved
6d-erecharge-repli.togocom.tg,10.228.15.100; 10.228.12.52,Resolved
CA-PRD-WSLOGS01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-ACS-HCL-BCKP.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRP-UMDBR001.yas.tg,Not found or domain doesn't exist,Not Resolved
prd01-okdn1.ws.togocom.tg,10.228.15.100; 10.228.11.16,Resolved
LO-UTS-DB.togocom,Not found or domain doesn't exist,Not Resolved
lo-prd-umweb04.momo.togocom.tg,10.228.15.100; 10.228.10.201,Resolved
tst01-apim1.ws.togocom.tg,10.228.15.100; 10.228.27.16,Resolved
prd01-efk3.ws.togocom.tg,10.228.15.100; 10.228.11.121,Resolved
prp01-okdn1.ws.togocom.tg,10.228.15.100; 10.228.19.14,Resolved
CA-SMS-SMPPPROXY01.togocom.tg,10.228.15.100; 10.228.11.78,Resolved
lo-prd-umnfs02.momo.togocom.tg,10.228.15.100; 10.228.10.221,Resolved
LO-PRP-BANK.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-umeng09.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-bsstools.togocom.tg,10.228.15.100; 10.228.40.25,Resolved
CA-PRD-REDIS-01.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-MBANKING-BCEAO.mdw.togocom.tg,10.228.15.100; 10.228.40.44,Resolved
CA-USMPROD04.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-EDW-POSTGRES-DB03.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRP-WSAPIG02.ws.togocom.tg,10.228.15.100; 10.228.19.27,Resolved
CA-USMUAT01.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-DR-SHR-WSMIDB01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
cacn-dmv-dhcp.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-umdbo004.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-DEV-KUBE-WORKER-NODE-01.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMENG004.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMENG16.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRP-SUPER-DBCLUS-01.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
prp01-amq2.ws.togocom.tg,10.228.15.100; 10.228.19.205,Resolved
CA-PRD-WSELAST02.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD01.FRONTEND01.togocom,Not found or domain doesn't exist,Not Resolved
LO-RA-DECODE-APP-01.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-WSAPIM02.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-cms-ccs-03.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-FILES-NETACT-DB01.togocom.tg,10.228.15.100; 10.228.11.81,Resolved
HAPROXYPRP.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-exploitation.togocom.tg,10.228.15.100; 10.228.11.120,Resolved
CA-PRD-AGENT-APP-02.YAS.TG,10.228.15.100; 10.228.12.81,Resolved
CA-PRD-MIX-DB01.momo.togocom.tg,10.228.15.100; 10.228.10.93,Resolved
ca-prd-umdbr01-clone.yas.tg,Not found or domain doesn't exist,Not Resolved
LMSPRODDB02.TOGOCOM.TG,10.228.15.100; 10.228.10.50,Resolved
ca-uat-umdbo01.momo.togocom.tg,10.228.15.100; 10.228.26.13,Resolved
CA-PRD-SHR-WSMIDB01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-BMS-DB01.togocom.tg,10.228.15.100; 10.228.11.123,Resolved
CA-PRD-UMWEB1-RESTORE24092024.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
CA-REPORTING-DERC.togocom.tg,10.228.15.100; 10.228.11.110,Resolved
prd01-amq1.ws.togocom.tg,10.228.15.100; 10.228.11.19,Resolved
CA-PRD-WSPGSQL02.ws.togocom.tg,10.228.15.100; 10.228.13.12,Resolved
CAT-DT-DNS-01.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-UMTEST.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-KUBE-MASTER-01.togocom.tg,10.228.15.100; 10.228.11.72,Resolved
CA-PRD-UMDBR-01.MOMO.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
LO-SMS-SMPPROXY03.togocom.tg,Not found or domain doesn't exist,Not Resolved
prp01-amq1.ws.togocom.tg,10.228.15.100; 10.228.19.17,Resolved
LO-SMS-FIREWALL04.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-uat-umapp01.momo.togocom.tg,10.228.15.100; 10.228.26.12,Resolved
LO-DR-WSAMQP01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-prd-umutil03.momo.togocom.tg,10.228.15.100; 10.228.10.219,Resolved
LO-BSSOSS-DB-02.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-BACKEND-APP01.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMCON18.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-UAT-WSAPIM01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-uat-sent-app.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-prd-umcon13.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMUTIL002.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-cdp-impact-db02.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-dim-db.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-edw-gpl02.dwh.togocom.tg,10.228.15.100; 10.228.11.30,Resolved
ca-prd-cms-egw-02.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-SUPER-RM-02.TOGOCOM.TG,10.228.15.100; 10.228.12.38,Resolved
smtprelay2.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD-UMENG008.momo.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-NTP-01.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prp-umdbe01.momo.togocom.tg,10.228.15.100; 10.228.18.24,Resolved
ip-172-26-8-143.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-USMPROD01.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-FILES-NETACT-APP01.togocom.tg,10.228.15.100; 10.228.32.15,Resolved
CA-ALL-UME-BONUS.TOGOCOM.INT,Not found or domain doesn't exist,Not Resolved
lo-edw-db01.dwh.togocom.tg,10.228.15.100; 10.228.11.241,Resolved
